Borough,Year,Week,Total accidents,Lethal accidents
MANHATTAN,2013,5,730,2
MANHATTAN,2013,6,688,3
MANHATTAN,2013,7,719,0
MANHATTAN,2013,8,703,1
MANHATTAN,2013,9,745,1
MANHATTAN,2013,10,759,2
MANHATTAN,2013,11,798,0
MANHATTAN,2013,12,724,0
MANHATTAN,2013,13,697,0
MANHATTAN,2013,14,745,1
MANHATTAN,2013,15,820,0
MANHATTAN,2013,16,781,1
MANHATTAN,2013,17,772,0
MANHATTAN,2013,18,854,1
MANHATTAN,2013,19,849,0
MANHATTAN,2013,20,839,0
MANHATTAN,2013,21,923,0
MANHATTAN,2013,22,829,1
MANHATTAN,2013,23,874,3
MANHATTAN,2013,24,872,0
MANHATTAN,2013,25,871,0
MANHATTAN,2013,26,909,1
MANHATTAN,2013,27,715,1
MANHATTAN,2013,28,823,0
MANHATTAN,2013,29,827,0
MANHATTAN,2013,30,857,1
MANHATTAN,2013,31,849,3
MANHATTAN,2013,32,754,0
MANHATTAN,2013,33,857,1
MANHATTAN,2013,34,796,2
MANHATTAN,2013,35,744,0
MANHATTAN,2013,36,765,1
MANHATTAN,2013,37,913,0
MANHATTAN,2013,38,857,0
MANHATTAN,2013,39,829,0
MANHATTAN,2013,40,840,0
MANHATTAN,2013,41,837,0
MANHATTAN,2013,42,807,1
MANHATTAN,2013,43,844,0
MANHATTAN,2013,44,859,0
MANHATTAN,2013,45,855,1
MANHATTAN,2013,46,832,1
MANHATTAN,2013,47,862,2
MANHATTAN,2013,48,790,3
MANHATTAN,2013,49,843,0
MANHATTAN,2013,50,877,0
MANHATTAN,2013,51,846,2
MANHATTAN,2013,52,615,0
MANHATTAN,2014,1,525,0
MANHATTAN,2014,2,713,2
MANHATTAN,2014,3,740,3
MANHATTAN,2014,4,779,0
MANHATTAN,2014,5,737,0
MANHATTAN,2014,6,730,0
MANHATTAN,2014,7,762,0
MANHATTAN,2014,8,700,0
MANHATTAN,2014,9,712,0
MANHATTAN,2014,10,664,0
MANHATTAN,2014,11,728,1
MANHATTAN,2014,12,762,0
MANHATTAN,2014,13,721,1
MANHATTAN,2014,14,797,0
MANHATTAN,2014,15,818,1
MANHATTAN,2014,16,728,1
MANHATTAN,2014,17,799,0
MANHATTAN,2014,18,870,1
MANHATTAN,2014,19,847,2
MANHATTAN,2014,20,939,1
MANHATTAN,2014,21,820,0
MANHATTAN,2014,22,838,0
MANHATTAN,2014,23,900,1
MANHATTAN,2014,24,817,0
MANHATTAN,2014,25,878,0
MANHATTAN,2014,26,859,0
MANHATTAN,2014,27,748,1
MANHATTAN,2014,28,791,1
MANHATTAN,2014,29,812,1
